ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4
1005,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech
1005,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Earth Power,Spiky Shield,Sludge Bomb
1005,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Protect,Moonblast,Icy Wind
1005,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat
1005,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect
1005,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Sunny Day
1006,Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,U-turn
1006,Entei,Assault Vest,Inner Focus,Fairy,Sacred Fire,Extreme Speed,Stomping Tantrum,Tera Blast
1006,Gholdengo,Metal Coat,Good as Gold,Steel,Make It Rain,Shadow Ball,Nasty Plot,Protect
1006,Smeargle,Focus Sash,Moody,Ghost,Spore,Follow Me,Wide Guard,Fake Out
1006,Ursaluna-Bloodmoon,Throat Spray,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect
1006,Tornadus,Covert Cloak,Prankster,Flying,Bleakwind Storm,Tailwind,Grass Knot,Taunt
1007,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner
1007,Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Protect
1007,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect
1007,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1007,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Helping Hand,Trick Room,Dazzling Gleam
1007,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Icy Wind
1008,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl
1008,Amoonguss,Sitrus Berry,Regenerator,Fairy,Protect,Rage Powder,Spore,Pollen Puff
1008,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me
1008,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Dragon Dance,Acrobatics,Protect
1008,Incineroar,Figy Berry,Intimidate,Grass,Fake Out,Parting Shot,Knock Off,Flare Blitz
1008,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
1009,Indeedee-F,Psychic Seed,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room
1009,Urshifu,Choice Band,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,U-turn
1009,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Icy Wind
1009,Ogerpon,Focus Sash,Defiant,Grass,Ivy Cudgel,Spiky Shield,Follow Me,Superpower
1009,Iron Crown,Booster Energy,Quark Drive,Psychic,Tachyon Cutter,Expanding Force,Focus Blast,Protect
1009,Ursaluna,Flame Orb,Guts,Ghost,Facade,Headlong Rush,Earthquake,Protect
1010,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn
1010,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect
1010,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect
1010,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me
1010,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind
1010,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand
1011,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch
1011,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat
1011,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect
1011,Tornadus,Rocky Helmet,Prankster,Ghost,Tailwind,Bleakwind Storm,Sunny Day,Taunt
1011,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Spiky Shield,Earth Power
1011,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Protect
1012,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song
1012,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Ivy Cudgel,Horn Leech
1012,Kingambit,Black Glasses,Defiant,Dark,Protect,Sucker Punch,Swords Dance,Kowtow Cleave
1012,Landorus,Life Orb,Sheer Force,Poison,Protect,Earth Power,Sludge Bomb,Sandsear Storm
1012,Gouging Fire,Booster Energy,Protosynthesis,Grass,Burning Bulwark,Breaking Swipe,Heat Crash,Snarl
1012,Amoonguss,Sitrus Berry,Regenerator,Water,Protect,Rage Powder,Spore,Pollen Puff
1013,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Sacred Sword,Sucker Punch,Protect,Ice Spinner
1013,Gouging Fire,Booster Energy,Protosynthesis,Grass,Heat Crash,Breaking Swipe,Howl,Protect
1013,Amoonguss,Sitrus Berry,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Grass Knot
1013,Kingambit,Black Glasses,Defiant,Poison,Kowtow Cleave,Sucker Punch,Protect,Iron Head
1013,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield
1013,Dragonite,Assault Vest,Inner Focus,Normal,Aerial Ace,Thunder Punch,Stomping Tantrum,Extreme Speed
1014,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect
1014,Gholdengo,Metal Coat,Good as Gold,Steel,Protect,Nasty Plot,Shadow Ball,Make It Rain
1014,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderclap,Protect,Thunderbolt,Draco Meteor
1014,Rillaboom,Miracle Seed,Grassy Surge,Fire,Grassy Glide,Fake Out,High Horsepower,Wood Hammer
1014,Entei,Sitrus Berry,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Protect
1014,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech
1015,Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect
1015,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect
1015,Incineroar,Assault Vest,Intimidate,Fairy,Fake Out,Knock Off,Flare Blitz,U-turn
1015,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect
1015,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song
1015,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield
1016,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Trick Room,Recover
1016,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out
1016,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect
1016,Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Stellar,Close Combat,Surging Strikes,Aqua Jet,Detect
1016,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect
1016,Gholdengo,Metal Coat,Good as Gold,Dragon,Make It Rain,Shadow Ball,Nasty Plot,Protect
1017,Amoonguss,Sitrus Berry,Regenerator,Dark,Pollen Puff,Rage Powder,Spore,Protect
1017,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch
1017,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Icy Wind,Shadow Ball
1017,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Rock Slide,Head Smash,Flare Blitz
1017,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Tailwind,Taunt,Protect
1017,Raging Bolt,Assault Vest,Protosynthesis,Grass,Electroweb,Snarl,Dragon Pulse,Thunderclap
1018,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1018,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Recover,Trick Room
1018,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Perish Song
1018,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark
1018,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Sucker Punch,Swords Dance,Protect
1018,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower
1019,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect
1019,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect
1019,Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Wide Guard,Tailwind
1019,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet
1019,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse
1019,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Icicle Crash,Ice Shard,Protect
1020,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Power Whip
1020,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Protect,Tailwind,Icy Wind
1020,Kingambit,Assault Vest,Defiant,Fairy,Sucker Punch,Iron Head,Assurance,Low Kick
1020,Glimmora,Power Herb,Toxic Debris,Grass,Sludge Bomb,Earth Power,Spiky Shield,Meteor Beam
1020,Landorus,Life Orb,Sheer Force,Steel,Protect,Earth Power,Sandsear Storm,Sludge Bomb
1020,Scream Tail,Booster Energy,Protosynthesis,Ghost,Protect,Encore,Dazzling Gleam,Disable
1021,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield
1021,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect
1021,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat
1021,Tornadus,Rocky Helmet,Prankster,Ghost,Sunny Day,Bleakwind Storm,Tailwind,Taunt
1021,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1021,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Protect,Icy Wind,Dazzling Gleam
1022,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect
1022,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Pollen Puff,Rage Powder,Protect
1022,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Substitute,Earth Power,Protect
1022,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Electroweb,Snarl
1022,Incineroar,Rocky Helmet,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot
1022,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,Surging Strikes,U-turn,Aqua Jet,Close Combat
1023,Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Tailwind,Wide Guard
1023,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet
1023,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse
1023,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Flare Blitz,Knock Off
1023,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect
1023,Amoonguss,Sitrus Berry,Regenerator,Steel,Spore,Pollen Puff,Rage Powder,Protect
1024,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind
1024,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect
1024,Pelipper,Focus Sash,Drizzle,Ghost,Wide Guard,Hurricane,Weather Ball,Tailwind
1024,Archaludon,Assault Vest,Stamina,Fairy,Body Press,Heavy Slam,Electro Shot,Dragon Pulse
1024,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Poison,Surging Strikes,Close Combat,U-turn,Aqua Jet
1024,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Icicle Crash,Ice Shard,Protect
1025,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Wood Hammer,Follow Me
1025,Rillaboom,Clear Amulet,Grassy Surge,Fire,Wood Hammer,High Horsepower,Fake Out,Grassy Glide
1025,Urshifu,Choice Band,Unseen Fist,Grass,Wicked Blow,Close Combat,Sucker Punch,Iron Head
1025,Farigiraf,Safety Goggles,Armor Tail,Fire,Hyper Voice,Psyshock,Helping Hand,Trick Room
1025,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Sleep Talk
1025,Smeargle,Focus Sash,Technician,Grass,Spore,Follow Me,Fake Out,Decorate
1026,Kingambit,Black Glasses,Defiant,Dragon,Sucker Punch,Iron Head,Kowtow Cleave,Protect
1026,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Clear Smog,Grass Knot,Rage Powder
1026,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Aqua Jet,U-turn
1026,Dragonite,Assault Vest,Inner Focus,Normal,Extreme Speed,Aerial Ace,Stomping Tantrum,Thunder Punch
1026,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sacred Sword,Protect,Sucker Punch
1026,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Horn Leech,Stomping Tantrum
1027,Farigiraf,Safety Goggles,Armor Tail,Fairy,Psychic,Dazzling Gleam,Nasty Plot,Trick Room
1027,Iron Jugulis,Booster Energy,Quark Drive,Poison,Protect,Air Slash,Snarl,Tailwind
1027,Amoonguss,Sitrus Berry,Regenerator,Fairy,Rage Powder,Spore,Pollen Puff,Clear Smog
1027,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me
1027,Incineroar,Rocky Helmet,Intimidate,Grass,Parting Shot,Knock Off,Flare Blitz,Fake Out
1027,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Hyper Voice,Blood Moon,Earth Power
1028,Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Fake Out,U-turn,Knock Off
1028,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Detect,Close Combat,Aqua Jet
1028,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me
1028,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Dazzling Gleam,Protect
1028,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic Noise,Dazzling Gleam,Trick Room,Helping Hand
1028,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect
1029,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect
1029,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1029,Flutter Mane,Focus Sash,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Protect
1029,Rillaboom,Meadow Plate,Grassy Surge,Grass,Fake Out,Grassy Glide,Taunt,Wood Hammer
1029,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect
1029,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark
1030,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Swords Dance,Spiky Shield
1030,Kingambit,Assault Vest,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Low Kick,Iron Head
1030,Articuno,Never-Melt Ice,Snow Cloak,Fire,Tailwind,Freeze-Dry,Blizzard,Protect
1030,Ninetales-Alola,Light Clay,Snow Warning,Water,Icy Wind,Aurora Veil,Moonblast,Encore
1030,Magmar,Eviolite,Flame Body,Grass,Taunt,Overheat,Follow Me,Protect
1030,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Protect,Sludge Bomb,Sandsear Storm
1031,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect
1031,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
1031,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn
1031,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand
1031,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1031,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
1032,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Nasty Plot,Shadow Ball,Protect
1032,Hatterene,Light Clay,Magic Bounce,Steel,Dazzling Gleam,Reflect,Light Screen,Trick Room
1032,Ursaluna,Flame Orb,Guts,Normal,Facade,Swords Dance,Earthquake,Protect
1032,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Clear Smog
1032,Incineroar,Safety Goggles,Intimidate,Dragon,Flare Blitz,Fake Out,Knock Off,Parting Shot
1032,Porygon2,Eviolite,Trace,Flying,Tera Blast,Trick Room,Eerie Impulse,Recover
1033,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Icy Wind,Rain Dance
1033,Iron Crown,Booster Energy,Quark Drive,Psychic,Expanding Force,Tachyon Cutter,Calm Mind,Protect
1033,Ursaluna,Flame Orb,Guts,Ghost,Facade,Earthquake,Headlong Rush,Protect
1033,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Trick Room,Imprison
1033,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner
1033,Zapdos-Galar,Choice Scarf,Defiant,Fire,Brave Bird,Thunderous Kick,Close Combat,U-turn
1034,Gallade,Clear Amulet,Sharpness,Grass,Wide Guard,Trick Room,Sacred Sword,Psycho Cut
1034,Hatterene,Life Orb,Magic Bounce,Fire,Expanding Force,Dazzling Gleam,Protect,Trick Room
1034,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Stellar,Surging Strikes,Ice Spinner,Close Combat,U-turn
1034,Indeedee-F,Rocky Helmet,Psychic Surge,Water,Follow Me,Dazzling Gleam,Helping Hand,Trick Room
1034,Torkoal,Charcoal,Drought,Fire,Protect,Weather Ball,Earth Power,Eruption
1034,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Protect,Swords Dance,Sucker Punch
1035,Ursaluna,Flame Orb,Guts,Ghost,Protect,Earthquake,Headlong Rush,Facade
1035,Indeedee-F,Sitrus Berry,Psychic Surge,Fairy,Follow Me,Trick Room,Dazzling Gleam,Helping Hand
1035,Urshifu,Focus Sash,Unseen Fist,Dark,Protect,Wicked Blow,Close Combat,Sucker Punch
1035,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Icy Wind
1035,Dusclops,Eviolite,Pressure,Grass,Pain Split,Night Shade,Trick Room,Haze
1035,Iron Crown,Life Orb,Quark Drive,Water,Protect,Tera Blast,Expanding Force,Tachyon Cutter
1036,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect
1036,Archaludon,Assault Vest,Stamina,Grass,Heavy Slam,Draco Meteor,Body Press,Snarl
1036,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Thunderbolt
1036,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Dragon Dance,Protect
1036,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn
1036,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Knock Off,Parting Shot
1037,Pelipper,Focus Sash,Drizzle,Ghost,Weather Ball,Tailwind,Hurricane,Wide Guard
1037,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sandsear Storm,Sludge Bomb,Protect
1037,Incineroar,Sitrus Berry,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot
1037,Archaludon,Assault Vest,Stamina,Bug,Body Press,Electro Shot,Flash Cannon,Draco Meteor
1037,Amoonguss,Rocky Helmet,Regenerator,Water,Clear Smog,Spore,Pollen Puff,Rage Powder
1037,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet
1038,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind
1038,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Tailwind,Taunt,Bleakwind Storm
1038,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Sludge Bomb,Earth Power,Meteor Beam
1038,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me
1038,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Flare Blitz,Rock Slide,Extreme Speed,Head Smash
1038,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
1039,Annihilape,Leftovers,Defiant,Water,Rage Fist,Drain Punch,Protect,Bulk Up
1039,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower
1039,Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect
1039,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Throat Chop,Haze,Protect
1039,Sableye,Light Clay,Prankster,Steel,Light Screen,Reflect,Will-O-Wisp,Taunt
1039,Comfey,Sitrus Berry,Triage,Steel,Protect,Draining Kiss,Floral Healing,Trick Room
1040,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand
1040,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn
1040,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
1040,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect
1040,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
1040,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
1041,Archaludon,Assault Vest,Stamina,Grass,Electro Shot,Draco Meteor,Heavy Slam,Body Press
1041,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect
1041,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect
