ID,Torneo,Tipo_Torneo,Player,Rondas,Equipo,Wins,Losses,DF_Name
1052,Regional Charlotte,Oficial,Daniel Yu [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/294,https://pokepast.es/fee3e4eeb027845c,10.0,5.0,
1053,Regional Charlotte,Oficial,felipe molino [PA],https://standings.stalruth.dev/2024/regional-charlotte/masters/808,https://pokepast.es/07611da4d652fed1,9.0,6.0,
1054,Regional Charlotte,Oficial,Justin Tang [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/62,https://pokepast.es/621ea89022d2f135,9.0,6.0,TW_Offense_IDs
1055,Regional Charlotte,Oficial,Noah Gardner [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/40,https://pokepast.es/124b50741fe868c2,9.0,6.0,
1056,Regional Charlotte,Oficial,Logan Mazur [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/4,https://pokepast.es/04aa0caefca0dc58,9.0,6.0,KOG_IDs
1057,Regional Charlotte,Oficial,Jonathan Duran [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/156,https://pokepast.es/3e2ba2cf7c6c6a92,9.0,6.0,TW_Offense_IDs
1058,Regional Charlotte,Oficial,Mia Gray [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/224,https://pokepast.es/1283024914c50f85,9.0,6.0,Psyspam_TW_IDs
1059,Regional Charlotte,Oficial,Trista Medine [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/17,https://pokepast.es/217f063290b3c148,9.0,6.0,
1060,Regional Charlotte,Oficial,Dillon Woolf [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/310,https://pokepast.es/d24dd5323b1d9307,9.0,5.0,KOG_IDs
1061,Regional Charlotte,Oficial,Michael Parusa [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/452,https://pokepast.es/8b5c5c994d5d4b48,9.0,5.0,TW_Offense_IDs
1062,Regional Charlotte,Oficial,Rily Corn [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/194,https://pokepast.es/6fadd0d7110528fe,9.0,6.0,TW_Offense_IDs
1063,Regional Charlotte,Oficial,Takuya Hiraiwa [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/38,https://pokepast.es/2f8d854310da6d0b,9.0,6.0,Rain_Offense_IDs
1064,Regional Charlotte,Oficial,Brandon Hoffman [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/128,https://pokepast.es/11847f74dc6b89aa,9.0,6.0,
1065,Regional Charlotte,Oficial,Justin Carris [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/132,https://pokepast.es/8c4ba574b8a9cb6c,9.0,6.0,Psyspam_TW_IDs
1066,Regional Charlotte,Oficial,Tianshu Ren [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/476,https://pokepast.es/28578e2cf682c592,9.0,6.0,
1067,Regional Charlotte,Oficial,Sam Danneker [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/568,https://pokepast.es/5c302147b95d53dc,9.0,6.0,Psyspam_TW_IDs
1068,Regional Charlotte,Oficial,Stephen Hill [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/95,https://pokepast.es/3b2b6eae86bef266,8.0,7.0,HardTR_IDs
1069,Regional Charlotte,Oficial,Garrett Wilson [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/739,https://pokepast.es/7c5c3d1333aeb36b,8.0,7.0,
1070,Regional Charlotte,Oficial,Joseph Cartin [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/588,https://pokepast.es/7fcd7a1d227aa6bb,8.0,7.0,
1071,Regional Charlotte,Oficial,Nick Willems [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/829,https://pokepast.es/b71d8e2500170e96,8.0,7.0,TW_Offense_IDs
1072,Regional Charlotte,Oficial,Darsh Patel [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/794,https://pokepast.es/9df0b8538694ce5b,7.0,3.0,SetUp_DD_IDs
1073,Regional Charlotte,Oficial,Christian Dam [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/541,https://pokepast.es/c924c5320f5f3cd3,7.0,5.0,Psyspam_TW_IDs
1074,Regional Charlotte,Oficial,Thomas Cholakov [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/496,https://pokepast.es/5e73e1d6d339b3e7,7.0,6.0,
1075,Regional Charlotte,Oficial,Nathan Parker [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/149,https://pokepast.es/7652dc6ac1a64f86,7.0,7.0,Psyspam_TW_IDs
1076,Regional Charlotte,Oficial,Samuel Mowery [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/640,https://pokepast.es/b24c8edbdb224a67,6.0,3.0,TW_Offense_IDs
1077,Regional Charlotte,Oficial,Mateo Vasic [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/704,https://pokepast.es/42ac040f6c929633,6.0,3.0,Rain_Offense_IDs
1078,Regional Charlotte,Oficial,Eric Stuart [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/177,https://pokepast.es/d92fe589681d4325,6.0,3.0,
1079,Regional Charlotte,Oficial,Daniel A Fontes [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/197,https://pokepast.es/9b852b9124975a8c,6.0,3.0,Gholdengo_HO_IDs
1080,Regional Charlotte,Oficial,Connor Swikart [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/144,https://pokepast.es/0ffdd778fd52a247,6.0,3.0,DozoTatsu_IDs
1081,Regional Charlotte,Oficial,Joseph Ugarte [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/687,https://pokepast.es/6d25cf0ad8019ee5,6.0,3.0,Pao_Prio_IDs
1082,Regional Charlotte,Oficial,Norah Bowman [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/662,https://pokepast.es/fcb9e991d815ca43,6.0,3.0,Pao_Prio_IDs
1083,Regional Charlotte,Oficial,John Lyons [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/402,https://pokepast.es/67b8fb230f44b4a0,6.0,3.0,Psyspam_TW_IDs
1084,Regional Charlotte,Oficial,Rajan Gary [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/369,https://pokepast.es/7898551a8b00038e,6.0,3.0,Psyspam_TW_IDs
1085,Regional Charlotte,Oficial,Stefan Mott [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/70,https://pokepast.es/bc8e2fb59b5ecee0,6.0,3.0,
1086,Regional Charlotte,Oficial,Sergio Mojica [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/385,https://pokepast.es/d8c063d9f9bcd051,6.0,3.0,DozoTatsu_IDs
1087,Regional Charlotte,Oficial,Chuppa Cross IV [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/618,https://pokepast.es/3c31afa3828d1a04,6.0,3.0,TW_Offense_IDs
1088,Regional Charlotte,Oficial,Evan Zimmer [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/788,https://pokepast.es/7ac50d69da0af8ee,6.0,3.0,
1089,Regional Charlotte,Oficial,Jianzheng Huang [CN],https://standings.stalruth.dev/2024/regional-charlotte/masters/598,https://pokepast.es/8ffc0856755e62f2,6.0,3.0,Psyspam_TW_IDs
1090,Regional Charlotte,Oficial,Bukunmi Oyewole [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/187,https://pokepast.es/6fb79cc7022bfd6c,6.0,3.0,Rain_Offense_IDs
1091,Regional Charlotte,Oficial,Andrew Whitman [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/59,https://pokepast.es/87220c94def28cc4,6.0,3.0,TW_Offense_IDs
1092,Regional Charlotte,Oficial,Tristan Juhasz [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/660,https://pokepast.es/a53ac2b75161a088,6.0,3.0,Pao_Prio_IDs
1093,Regional Charlotte,Oficial,Jimmy Friedle [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/211,https://pokepast.es/da0e52901c15d5dc,6.0,3.0,
1094,Regional Charlotte,Oficial,Christopher Howe [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/109,https://pokepast.es/29a0422dfb39e037,6.0,3.0,TR_Balance_IDs
1095,Regional Charlotte,Oficial,Madeline Lemons [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/170,https://pokepast.es/2c6eed63260bbf16,6.0,3.0,Pao_Prio_IDs
1096,Regional Charlotte,Oficial,Rowan Hall [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/221,https://pokepast.es/2f99294b0f41e6c8,6.0,3.0,
1097,Regional Charlotte,Oficial,Morgan O'Hare [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/267,https://pokepast.es/8a3d0d31ca47d069,6.0,3.0,
1098,Regional Charlotte,Oficial,Rafe Osborne [CA],https://standings.stalruth.dev/2024/regional-charlotte/masters/717,https://pokepast.es/91d931ca45673c9f,6.0,3.0,Gholdengo_HO_IDs
1099,Regional Charlotte,Oficial,Yotam Cohen [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/518,https://pokepast.es/f1e6e65d5f262c4d,6.0,3.0,Psyspam_TW_IDs
1100,Regional Charlotte,Oficial,Matteo Velata [IT],https://standings.stalruth.dev/2024/regional-charlotte/masters/237,https://pokepast.es/23d9cce8d144b255,6.0,3.0,
1101,Regional Charlotte,Oficial,Patrick Cheng [CA],https://standings.stalruth.dev/2024/regional-charlotte/masters/428,https://pokepast.es/2833eea0cfd5e4b1,6.0,3.0,HardTR_IDs
1102,Regional Charlotte,Oficial,Dillon Kleinvehn [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/77,https://pokepast.es/fdc7ff761f176f2e,6.0,3.0,Pao_Prio_IDs
1103,Regional Charlotte,Oficial,Luis Diaz [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/563,https://pokepast.es/1ae2dfc8b78624cd,6.0,3.0,TW_Offense_IDs
1104,Regional Charlotte,Oficial,Sebastian Guerrero [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/455,https://pokepast.es/1ef99eb40209483d,6.0,3.0,Pao_Prio_IDs
1105,Regional Charlotte,Oficial,Dawei Si [CN],https://standings.stalruth.dev/2024/regional-charlotte/masters/624,https://pokepast.es/d251af0022ddbcea,6.0,3.0,DozoTatsu_IDs
1106,Regional Charlotte,Oficial,John Rutledge [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/761,https://pokepast.es/cb2c546a8e81bcaa,6.0,3.0,
1107,Regional Charlotte,Oficial,Steven Kaye [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/48,https://pokepast.es/7ed8b524c1cc25a6,6.0,3.0,Pao_Prio_IDs
1108,Regional Charlotte,Oficial,Robert Moore [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/24,https://pokepast.es/0f90882f0b5169e6,6.0,3.0,Psyspam_TW_IDs
1109,Regional Charlotte,Oficial,Taurian Bradford [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/293,https://pokepast.es/653fb18636bdd91a,6.0,3.0,
1110,Regional Charlotte,Oficial,Kian Sayan [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/242,https://pokepast.es/2e2ef6d17fae021b,6.0,3.0,KOG_IDs
1111,Regional Charlotte,Oficial,Sam Pletcher [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/735,https://pokepast.es/fdc3263e7bda0469,6.0,3.0,Rain_Offense_IDs
1112,Regional Charlotte,Oficial,Kenneth Tirado Hernández [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/190,https://pokepast.es/ebf7e1100e5a9c81,6.0,3.0,Pao_Prio_IDs
1113,Regional Charlotte,Oficial,Noredia Imudia [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/759,https://pokepast.es/88a41b20ae0e5a3b,6.0,3.0,DozoTatsu_IDs
1114,Regional Charlotte,Oficial,Kevin Swastek [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/617,https://pokepast.es/0cb4e8d153bf19e8,6.0,3.0,Psyspam_TW_IDs
1115,Regional Charlotte,Oficial,Geoffrey Yang [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/583,https://pokepast.es/993d4aec677ace2b,6.0,3.0,
1116,Regional Charlotte,Oficial,Galo Orbea [EC],https://standings.stalruth.dev/2024/regional-charlotte/masters/126,https://pokepast.es/de9dbf54d4f41d38,6.0,3.0,
1117,Regional Charlotte,Oficial,Jesse Romolo [CA],https://standings.stalruth.dev/2024/regional-charlotte/masters/368,https://pokepast.es/1c29201b077b70c3,6.0,3.0,TW_Offense_IDs
1118,Regional Charlotte,Oficial,Jon VanRyckeghem [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/305,https://pokepast.es/7bf26cbf046f8eef,6.0,3.0,Pao_Prio_IDs
1119,Regional Charlotte,Oficial,Logan Pressley [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/599,https://pokepast.es/4243fcf9d468ae66,6.0,3.0,
1120,Regional Charlotte,Oficial,Philip Matthews [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/20,https://pokepast.es/6e176c2be8308165,6.0,3.0,TW_Offense_IDs
1121,Regional Charlotte,Oficial,Steven Stark [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/234,https://pokepast.es/5a356f0ba453e6d4,6.0,3.0,KOG_IDs
1122,Regional Charlotte,Oficial,Michael Arand [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/819,https://pokepast.es/bbc228867ec9395a,6.0,3.0,
1123,Regional Charlotte,Oficial,Cameron Rosenfeld [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/337,https://pokepast.es/53bdbb56639daaea,6.0,3.0,Pao_Prio_IDs
1124,Regional Charlotte,Oficial,Nathaniel Berger [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/500,https://pokepast.es/f0909f09c75fa726,6.0,3.0,Pao_Prio_IDs
1125,Regional Charlotte,Oficial,Adrian Heredia [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/10,https://pokepast.es/945106c1818d1a9a,6.0,3.0,KOG_IDs
1126,Regional Charlotte,Oficial,Jeremy Parson [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/325,https://pokepast.es/fddf0a6ab3a53b78,6.0,3.0,TR_Balance_IDs
1127,Regional Charlotte,Oficial,Paul Ruiz [EC],https://standings.stalruth.dev/2024/regional-charlotte/masters/770,https://pokepast.es/f12e3dc92acdb92c,6.0,3.0,
1128,Regional Charlotte,Oficial,Carter Davis [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/321,https://pokepast.es/141f0a6174a54101,6.0,3.0,DozoTatsu_IDs
1129,Regional Charlotte,Oficial,Preston Stutzman [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/422,https://pokepast.es/9aafb6acd7b64ebb,6.0,3.0,Pao_Prio_IDs
1130,Regional Charlotte,Oficial,Nick Morris [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/750,https://pokepast.es/1f1618321acb7bbc,6.0,3.0,Pao_Prio_IDs
1131,Regional Charlotte,Oficial,Shane Gaffney [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/356,https://pokepast.es/da4e39782941825e,6.0,3.0,Pao_Prio_IDs
1132,Regional Charlotte,Oficial,Bryan Tong [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/341,https://pokepast.es/f1ff9b1ef065c864,6.0,3.0,Pao_Prio_IDs
1133,Regional Charlotte,Oficial,Averi Biery [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/528,https://pokepast.es/cd1cf1d7c26d1fe5,6.0,3.0,
1134,Regional Charlotte,Oficial,Richard Mogollon [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/291,https://pokepast.es/1c2027fd48a18455,6.0,3.0,
1135,Regional Charlotte,Oficial,Alex Hoak [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/748,https://pokepast.es/3da010d903efb1e4,6.0,3.0,Pao_Prio_IDs
1136,Regional Charlotte,Oficial,Vince De Vera [CA],https://standings.stalruth.dev/2024/regional-charlotte/masters/710,https://pokepast.es/608721dc33b6b015,6.0,3.0,Pao_Prio_IDs
1137,Regional Charlotte,Oficial,Matthew Laughlin [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/468,https://pokepast.es/17acef7486a54a86,6.0,3.0,TR_Balance_IDs
1138,Regional Charlotte,Oficial,Ian McLaughlin [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/652,https://pokepast.es/eaef366131d7810a,6.0,3.0,Gholdengo_HO_IDs
1139,Regional Charlotte,Oficial,Kian Campbell [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/537,https://pokepast.es/dd608a5ad3b7d4fd,6.0,3.0,Pao_Prio_IDs
1140,Regional Charlotte,Oficial,Zachary Hall [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/331,https://pokepast.es/313efc469b3514ab,6.0,3.0,
1141,Regional Charlotte,Oficial,Enrique Grimaldo [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/257,https://pokepast.es/6a5e20603caaab5c,6.0,3.0,
1142,Regional Charlotte,Oficial,Adam Scruggs [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/447,https://pokepast.es/7f53a055faa9469e,6.0,3.0,Psyspam_TW_IDs
1143,Regional Charlotte,Oficial,Caleb Ryor [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/373,https://pokepast.es/e153fb94924f9674,6.0,3.0,Rain_Offense_IDs
1144,Regional Charlotte,Oficial,Jacob Mortenson [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/594,https://pokepast.es/86c6a930186b5c28,6.0,3.0,Psyspam_TW_IDs
1145,Regional Charlotte,Oficial,Rishi Gupta [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/793,https://pokepast.es/be00a717757a3443,6.0,3.0,Hail_Offense_IDs
1146,Regional Charlotte,Oficial,Charles Erbring [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/159,https://pokepast.es/1acc2db770b5121f,6.0,3.0,
1147,Regional Charlotte,Oficial,Zachary Mnich [US],https://standings.stalruth.dev/2024/regional-charlotte/masters/285,https://pokepast.es/d663aab092d1ba79,6.0,3.0,Rain_Offense_IDs
